billing_account_reference,Serial_Number,type
004546821,CP0511CT5FQ,
004547277,CP0516AT077,
004484836,ZU588241617GB,
004547303,CP0512AT26B,
004548233,CP0512CTY6G,
004548104,CP0515GT1J2,
004548163,cp0514at46m,
004548418,CP0511CT4RE,
005570450,CP0513ATT8H,
004549611,cp0515atg89,
004549643,CB0515BT84L,
004550147,CP0515BT867,
004549763,CP0515GT903,
004550180,CP0511AT417,
004550354,cp0511btwst,
004552019,cp0511btvpc,
004552080,cp0512ctth6,
004552736,cp0513at5w3,
004553029,cp0512cttke,
004553151,cp0512cttjf,
004553231,cp0511bty2z,
004553936,cp0513atgze,
004553971,cp0511btmkb,
004554477,cp0511btmju,
004554168,cp0511btmld,
004554261,cp0512ctu2r,
005790345,cp0515atfug,
004555288,cp0515gt0da,
004555374,cp0511ct6qa,
004555567,cp0511ct71w,
004553952,cp0517atq80,
004556087,cp0511ct5zv,
004556506,cp0517atqgu,
004531469,1005902b29cd8cd,
004555036,cp0514at0ye,
004535437,1025202b2bb4ccb,
004531469,zu587888648gb,
004555795,cp0512ctt3m,
004554909,cp0513btkh1,
004184671,zu587887700gb,
004556049,cp0517bt51z,
003719209,cp0517bt52y,
004557158,cp0514at1ky,
004557561,cp0511bth50,
004557643,cp0511bth6h,
004557676,cp0511att0n,
004558774,cp0517atnqq,
004558528,cp0517atnn4,
004558601,cp0512at32g,
004559557,cp0517bt4gb,
004559758,cp0515btn8h,
004559911,cp0512cts83,
004441167,1025902b2b100aa,
004115259,1015502b2af1ccd,
003881809,1015502b29106a2,
004560781,cp0515gt9mm,
004559127,cp0512ctlsb,
004561219,cp0517atnqf,
004561817,cp0512ctlt1,
004561845,cp0517at9zv,
004562158,cp0517at901,
004562054,cp0512at1z6,
004562338,cp0517aty91,
004562450,cp0517aty9y,
006623494,cp0517atg0l,
004562955,cp0517atvnj,
004563346,cp0517atvhv,
004564055,cp0517atvj5,
004564098,cp0517atrvr,
004563931,cp0517atvwz,
004534105,1025202B2BBFBDC,
004562355,cp0517atreq,
004564253,cp0517atv45,
004564388,cp0517atrs8,
004564648,cp0517atvz3,
004564787,cp0517atrfk,
006425589,cp0517atrt4,
004564491,CP0517ATVM6,
006787318,cp0515btpb0,
004565219,cp0515btpre,
004565603,cp0515btpsu,
004565733,cp0515btpup,
004566009,cp0517atyhg,
004566104,cp0517atbv1,
004566630,cp0517atbva,
004566964,cp0515btpq1,
004567908,cp0517atrrl,
004565350,cp0517atbp9,
004564531,cp0517atchd,
004567901,cp0517atzk9,
004567649,cp0517atcl6,
004568036,cp0517atbsq,
004568130,cp0517atzku,
004569018,cp0520bt2nu,
004568968,cp0520bt27w,
004569545,cp0515btr3v,
004569602,cp0520bt2pn,
004568785,cp0515btqpl,
004570149,cp0515btr76,
